file,line,name,parent,context,author,displayName,effective_author,credit_status
TAEGear\Helmets\Customs\config.cpp,787,tae_nova_helmet,tae_helmet_ls_armorer,CfgWeapons,Nova,Nova's Armorer Helmet,Nova,Explicit
TAEGear\Helmets\Customs\config.cpp,811,tae_teka_helmet,tae_helmet_pilot,CfgWeapons,Teka,Teka's Helmet,Teka,Explicit
TAEGear\Helmets\Customs\config.cpp,824,tae_shyyyo_helmet,tae_helmet_pilot,CfgWeapons,Hondo,Shyyyo Pilot Helmet,Hondo,Explicit
TAEGear\Helmets\Customs\config.cpp,839,tae_acklay_helmet,tae_helmet_ls_traditional,CfgWeapons,Edonn,Clan Acklay Helmet,Edonn,Explicit
TAEGear\Helmets\Customs\config.cpp,860,tae_ls_grey_rangefinder,tae_ls_mandalorian_rangefinder,CfgWeapons,Edonn,LS Grey,Edonn,Explicit
TAEGear\Helmets\Customs\config.cpp,879,tae_acklay_niteowl_helmet,tae_helmet_nite_owl,CfgWeapons,Edonn,Clan Acklay Nite Owl Helmet,Edonn,Explicit
TAEGear\Helmets\Customs\config.cpp,900,tae_edonn_helmet,tae_helmet_ls_dinDjarin,CfgWeapons,Edonn,Edonn's Helmet,Edonn,Explicit
TAEGear\Helmets\Customs\config.cpp,929,tae_dark_grey_rangefinder,tgf_nvg_rangefinder_r,CfgWeapons,Edonn,Dark Grey,Edonn,Explicit
TAEGear\Helmets\Customs\config.cpp,947,tae_nox_helmet,tae_helmet_warlord,CfgWeapons,Nox,Nox's Helmet,Nox,Explicit
TAEGear\Helmets\Customs\config.cpp,969,tae_jimothy_helmet,tae_helmet_heavy,CfgWeapons,Jimothy,Jimothy's Helmet,Jimothy,Explicit
TAEGear\Helmets\Customs\config.cpp,988,tae_jimothy_rangefinder,tgf_nvg_heavy_nv,CfgWeapons,Jimothy,,Jimothy,Explicit
TAEGear\Helmets\Customs\config.cpp,1003,tae_frenk_helmet,tae_helmet_gunslinger,CfgWeapons,Jimothy,Frenk's Gunslinger Helmet,Jimothy,Explicit
TAEGear\Helmets\Customs\config.cpp,1022,tae_towi_helmet,tae_helmet_arbiter,CfgWeapons,Jimothy,Towi's Arbiter Helmet,Jimothy,Explicit
TAEGear\Helmets\Customs\config.cpp,1043,tae_stasik_helmet,tae_helmet_viper,CfgWeapons,Hondo,Stasik's Helmet,Hondo,Explicit
TAEGear\Helmets\Customs\config.cpp,1062,tae_bingo_helmet,tae_helmet_viper,CfgWeapons,Jimothy,Bingo's Viper Helmet,Jimothy,Explicit
TAEGear\Helmets\Customs\config.cpp,1084,tae_foxx_helmet,tae_helmet_traditional,CfgWeapons,Juno,Clan Foxx Helmet,Juno,Explicit
TAEGear\Helmets\Customs\config.cpp,1104,tae_foxx_rangefinder,tgf_nvg_rangefinder_r,CfgWeapons,Juno,Clan Foxx Rangefinder,Juno,Explicit
TAEGear\Helmets\Customs\config.cpp,1122,tae_juno_helmet,tae_helmet_arbiter,CfgWeapons,Juno,Juno's Arbiter Helmet,Juno,Explicit
TAEGear\Helmets\Customs\config.cpp,1142,tae_bean_helmet,tae_helmet_war_chief,CfgWeapons,Bean,Bean's War Chief Helmet,Bean,Explicit
TAEGear\Helmets\Customs\config.cpp,1164,tae_varen_helmet,tae_helmet_traditional,CfgWeapons,Valeria,Clan Varen Traditional Helmet,Valeria,Explicit
TAEGear\Helmets\Customs\config.cpp,1184,tae_dark_red_rangefinder,tgf_nvg_rangefinder_r,CfgWeapons,Valeria,Dark Red,Valeria,Explicit
TAEGear\Helmets\Customs\config.cpp,1202,tae_valeria_helmet,tae_helmet_viper,CfgWeapons,Valeria,Valeria's Viper Helmet,Valeria,Explicit
TAEGear\Helmets\Customs\config.cpp,1221,tae_keira_helmet,tae_helmet_pilot,CfgWeapons,Keira,keira's tinkered helmet,Keira,Explicit
TAEGear\Helmets\Customs\config.cpp,1270,tae_haranverd_traditional_helmet,tae_helmet_traditional,CfgWeapons,Sage,Clan Haranverd Traditional Helmet,Sage,Explicit
TAEGear\Helmets\Customs\config.cpp,1291,tae_haranverd_niteowl_helmet,tae_helmet_nite_owl,CfgWeapons,Sage,Clan Haranverd Nite Owl Helmet,Sage,Explicit
TAEGear\Helmets\Customs\config.cpp,1313,tae_kyram_helmet,tae_helmet_traditional,CfgWeapons,Nova,Clan Kyr'am Traditional Helmet,Nova,Explicit
TAEGear\Helmets\Customs\config.cpp,1335,tae_rook_helmet,tae_helmet_traditional,CfgWeapons,Nox,Clan Rook Traditional Helmet,Nox,Explicit
TAEGear\Helmets\Customs\config.cpp,1355,tae_hades_helmet,tae_helmet_arbiter,CfgWeapons,Lanval,Hades' Arbiter Helmet,Lanval,Explicit
TAEGear\Helmets\Customs\config.cpp,1375,tae_grey_helmet,tae_helmet_gunslinger_vet,CfgWeapons,Bean,Grey's Gunslinger Veteran Helmet,Bean,Explicit
TAEGear\Helmets\Customs\config.cpp,1395,tae_galaxy_helmet,tae_helmet_gunslinger,CfgWeapons,Nox,Galaxy's Gunslinger Helmet,Nox,Explicit
TAEGear\Helmets\Customs\config.cpp,1415,tae_vario_helmet,tae_helmet_traditional,CfgWeapons,Nox,Vario's Traditional Helmet,Nox,Explicit
TAEGear\Helmets\Customs\config.cpp,1435,tae_andora_helmet,tae_helmet_nite_owl,CfgWeapons,Jimothy,Andora's Nite Owl Helmet,Jimothy,Explicit
TAEGear\Helmets\Customs\config.cpp,1455,tae_goostivool_helmet,tae_helmet_ls_executioner,CfgWeapons,Nox,Goostivool's Executioner Helmet,Nox,Explicit
TAEGear\Helmets\Customs\config.cpp,1475,tae_shen_helmet,tae_helmet_gunslinger,CfgWeapons,Hondo,Shen's Gunslinger Helmet,Hondo,Explicit
TAEGear\Uniforms\config.cpp,2,TAEUniforms,,CfgPatches,TAE Mod Team,,TAE Mod Team,Explicit
TAEGear\Uniforms\config.cpp,278,tae_uniform_unit_ls_mandalorian,ls_mandalorian_base,CfgVehicles,Edonn,TAE LS Mandalorian Undersuit,Edonn,Explicit
TAEGear\Uniforms\config.cpp,290,tae_uniform_unit_forgemaster_seal,tgf_undersuit_unit_forgemaster_seal,CfgVehicles,Edonn,TAE Mandalorian Undersuit with Seal (Forgemaster),Edonn,Explicit
TAEGear\Uniforms\config.cpp,302,tae_uniform_unit_black_seal,tgf_undersuit_unit_black_seal,CfgVehicles,Edonn,TAE Mandalorian Undersuit with Seal (Black),Edonn,Explicit
TAEGear\Uniforms\config.cpp,314,tae_uniform_unit_dark_blue_seal,tgf_undersuit_unit_dark_blue_seal,CfgVehicles,Edonn,TAE Mandalorian Undersuit with Seal (Dark Blue),Edonn,Explicit
TAEGear\Uniforms\config.cpp,326,tae_uniform_unit_dark_green_seal,tgf_undersuit_unit_dark_green_seal,CfgVehicles,Edonn,TAE Mandalorian Undersuit with Seal (Dark Green),Edonn,Explicit
TAEGear\Uniforms\config.cpp,338,tae_uniform_unit_grey_seal,tgf_undersuit_unit_grey_seal,CfgVehicles,Edonn,TAE Mandalorian Undersuit with Seal (Grey),Edonn,Explicit
TAEGear\Uniforms\config.cpp,350,tae_uniform_unit_orange_seal,tgf_undersuit_unit_orange_seal,CfgVehicles,Edonn,TAE Mandalorian Undersuit with Seal (Orange),Edonn,Explicit
TAEGear\Uniforms\config.cpp,362,tae_uniform_unit_red_seal,tgf_undersuit_unit_red_seal,CfgVehicles,Edonn,TAE Mandalorian Undersuit with Seal (Red),Edonn,Explicit
